,Chapters,Favs,Follows,Published,Reviews,Updated,Words,author,characters,genre,language,rating,story_link,synopsis,title,published_mmyy,pairing
0,1, 2,, 12/31/2019,1.0,," 6,840",reviews,"Sirius B., Remus L., James P., Regulus B.",Angst/Hurt/Comfort,English,T,https://www.fanfiction.net/s/13466909/1/If-You-Change-Your-Mind,"Regulus and James aren't happy. They know they can be happy with each other, but Regulus is uncertain whether or not he can leave behind the world he knows. For Angel.",If You Change Your Mind,12-2019,
1,1, 1,, 12/31/2019,,," 10,962",JoyI9199,"Harry P., Draco M., Narcissa M., Charlie W.",Angst/Drama,English,M,https://www.fanfiction.net/s/13466894/1/Bloody-Ballgowns,"When a plot from the Founder's age is revealed, Bailey Ravenclaw reappears in the pureblooded political scene, throwing it into an uproar. When she is sorted into Slytherin, rather than her own house, questions begin to swirl. A voice in her head begins to try and turn her towards the Dark Lord's followers. Political Fiction with minor Dumbledore bashing. Generally following canon.",Bloody Ballgowns,12-2019,
2,1, 3, 2, 12/31/2019,,," 8,592",MoonytheMarauder1,"[James P., Regulus B.]",Angst,English,M,https://www.fanfiction.net/s/13466885/1/Nothing-Left-To-Do,"Regulus Black is supposed to be dead, but he's not. Getting him out of the hands of the Death Eaters is going to come at a heavy price, though. Voldemort Wins!au. Soulmate!au. JamesRegulus, past JamesLily, RemusSirius, HarryDraco. For Bex.",Nothing Left To Do,12-2019,"James P., Regulus B."
3,2,,, 12/31/2019,,," 7,260",LaviniaKatt,Cedric D.,Romance/Fantasy,English,M,https://www.fanfiction.net/s/13466880/1/Patience-is-a-Virtue,This is a spin off of Harry Potter taking place in the 4th book Goblet of Fire. I do not own any rights this story. The story is a gay romance Between Harry and Cedric Diggory.,Patience is a Virtue,12-2019,
4,1, 4, 3, 12/31/2019,,," 1,529",Rowena-Moon-Moon,,,English,T,https://www.fanfiction.net/s/13466807/1/An-Understanding,"Harry makes a new discovery and perhaps a few unlikely allies when he helps Draco Malfoy, who has been cornered by three older Slytherins. That is a horrible summary but I can't come up with anything better. Set in Order of the Phoenix after the Ministry battle. One-Shot... Happy New Year! Also, it's just rated T for safety... There is a bit of violence.",An Understanding,12-2019,
5,3,,, 12/31/2019,,," 2,258",alixwolfix1,"Abraxas M., Tom R. Jr., Orion B., A. Dippet",Sci-Fi,Spanish,M,https://www.fanfiction.net/s/13466788/1/Hogwarts-Unido-pasado-Era-de-Riddle,"La Primera temporada de Herederos de la magia. La vida de los padres de Alix Lilian Wolfix Black, Amelia Alpha Black y Nicolás Rigell Wolfix. Tom Marvolo Riddel hizo LA PROMESA de vida.",Hogwarts Unido (pasado) (Era de Riddle),12-2019,
6,4,,, 12/31/2019,,," 2,508",alixwolfix1,"James P., Lily Evans P., Remus L., Sirius B.",Sci-Fi,Spanish,K+,https://www.fanfiction.net/s/13466779/1/Heredera-Wolfix-Era-de-los-Merodeadores,"La segunda temporada de Herederos de la magia. Hola, Soy Alix Wolfix, Heredera de la casa mas Antigua y Ancestral de los Wolfix, Miembro de los merodeadores, soy Lunática, según los chicos. Todos los personajes del mundo de Harry Potter pertenecen a Jk. Rowling, Solo La Familia Wolfix(es decir los pertenecientes a ella,no importa apellido) y Violet Malfoy,son de mi propiedad.",Heredera Wolfix (Era de los Merodeadores),12-2019,
7,1,, 2, 12/31/2019,1.0,," 4,186",reviews,"Remus L., Regulus B.",Hurt/Comfort/Friendship,English,T,https://www.fanfiction.net/s/13466742/1/how-lucky-we-are-to-be-alive-right-now,Remus has lost everything. Regulus is searching for something.:: Voldemort wins!au for Sophy,how lucky we are (to be alive right now),12-2019,
8,1, 3, 3, 12/31/2019,1.0,," 1,304",reviews,"Harry P., Sirius B., OC",Family/Hurt/Comfort,English,T,https://www.fanfiction.net/s/13466735/1/A-Different-Path-Vol-1,"This is an AU for my original series. Same characters, actual and OCs, different path.",A Different Path Vol 1,12-2019,
9,2, 2, 3, 12/31/2019,, 1/2," 3,894",owlwayssandforever,"Sirius B., Remus L., N. Tonks, Marlene M.",Angst/Romance,English,T,https://www.fanfiction.net/s/13466634/1/Into-the-Darkness-With-You,A disastrous break up. An unexpected visitor. A hidden truth. And a reunion that forces it all into the open.,Into the Darkness With You,12-2019,
